PMID,YearArticleDate,MonthArticleDate,ISSN,Title,ArticleTitle,ELocationID,AbstractText,Language,MedlineTA,NlmUniqueID,ISSNLinking,PublicationStatus,ArticleId,DOI,Volume,Issue,ISOAbbreviation
33238879,2020,11,1471-230X,BMC gastroenterology,Mixed adenoneuroendocrine carcinoma of the hepatic bile duct: a case report and review of the literature.,10.1186/s12876-020-01550-2,"Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":The World Health Organization's updated classification of digestive system neuroendocrine tumors in 2010 first proposed the classification of mixed adenoneuroendocrine carcinoma (MANEC). The incidence of biliary malignant tumors with neuroendocrine tumors accounts for less than 1% of all neuroendocrine tumors. Moreover, the incidence of hilar bile duct with MANEC is very rare.                 Label=""CASE PRESENTATION"" NlmCategory=""METHODS"":A 65-year-old female patient came to our hospital for repeated abdominal pain for more than 4 months and skin sclera yellow staining for 1 week. Contrast-enhanced computed tomography imaging and magnetic resonance results suggested a hilar tumor for Bismuth-Corlette Type II. The patient underwent radical surgery for hilar cholangiocarcinoma. Finally, the patient was diagnosed with hilar bile duct MANEC, staged 1 (pT1N0M0) based on the eighth edition of the AJCC. Histopathology showed that the tumor was a biliary tumor with both adenocarcinoma and neuroendocrine carcinoma. No evidence of recurrence and metastasis after 20 months of follow-up.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":We first reported a MANEC that originated in the hilar bile duct. As far as we known, there were few reports of biliary MANEC, and the overall prognosis was poor. We also found that the higher the Ki-67 index, the worse the prognosis of this type of patient. Radical surgery is the most effective treatment.",eng,BMC Gastroenterol,100968547,1471-230X,epublish,33238879,10.1186/s12876-020-01550-2,20,1,BMC Gastroenterol
33208670,2020,11,1533-4058,Applied immunohistochemistry &amp; molecular morphology : AIMM,Utility and Limitations of Albumin mRNA In Situ Hybridization Detection in the Diagnosis of Hepatobiliary Lesions and Metastatic Carcinoma to the Liver.,10.1097/PAI.0000000000000885,"Albumin messenger RNA (mRNA) in situ hybridization is a sensitive and specific biomarker for hepatocellular carcinoma (HCC). Intrahepatic cholangiocarcinoma (ICC) shows variable sensitivity, whereas extrahepatic cholangiocarcinoma (ECC) and metastatic carcinoma are generally negative. We studied the clinical utility and limitations of albumin mRNA detection in a cohort of HCCs, ICCs, ECCs, bile duct adenomas, bile duct hamartomas, and metastatic carcinomas to the liver; and investigated the variability in sensitivity observed for this biomarker in ICCs. We identified 122 cases of hepatobiliary lesions and metastatic carcinomas. Albumin mRNA detection was performed using RNAscope run on formalin-fixed, paraffin-embedded tissue sections. ICCs were categorized according to the classification proposed by Hayashi and colleagues into the small duct, large duct, and indeterminate subtypes. Albumin mRNA was detected in all 17 HCCs and focally in 6/8 (75%) of bile duct adenomas. All 28 nonhepatic carcinomas, 13 bile duct hamartomas, and 9 ECCs were negative. Albumin mRNA was found in 38/47 (80.9%) of ICC with 35/37 (94.6%) in the small duct subtype, 2/3 (66.7%) in the indeterminate subtype, and 1/7 (14.3%) of the large duct subtype (P&lt;0.003). Albumin mRNA detection is a sensitive and specific biomarker for HCCs. It is highly sensitive and moderately specific in the diagnosis of ICC with small gland morphology, but not ICCs with large duct morphology and in metastatic carcinoma. The variability in the sensitivity of albumin mRNA expression in ICCs may depend on the subtypes of ICC.",eng,Appl Immunohistochem Mol Morphol,100888796,1533-4058,aheadofprint,33208670,10.1097/PAI.0000000000000885,NA,NA,Appl Immunohistochem Mol Morphol
33201123,2020,11,1528-1140,Annals of surgery,"Pancreatobiliary Maljunction-Associated Gallbladder Cancer is as Common in the West, Shows Distinct Clinicopathologic Characteristics and Offers an Invaluable Model for Anatomy-Induced Reflux-Associated Physio-Chemical Carcinogenesis.",10.1097/SLA.0000000000004482,"Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"":To determine the associations of pancreatobiliary maljunction (PBM) in the West.                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":PBM (anomalous union of common bile duct and pancreatic duct) is mostly regarded as an Asian-only disorder, with 200X risk of gallbladder cancer (GBC), attributed to reflux of pancreatic enzymes.                 Label=""METHODS"" NlmCategory=""METHODS"":Radiologic images of 840 patients in the U.S. who underwent pancreatobiliary resections were reviewed for PBM and contrasted with 171 GBC cases from Japan.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Eight % of the US GBCs (24/300) had PBM (similar to Japan; 15/171, 8.8%), in addition to 1/42 bile duct carcinomas and 5/33 choledochal cysts. None of the 30 PBM cases from the US had been diagnosed as PBM in the original work-up. PBM was not found in other pancreatobiliary disorders. Clinicopathologic features of the 39 PBM-associated GBCs (US:24, Japan:15) were similar; however, comparison with non-PBM GBCs revealed that they occurred predominantly in females (F/M = 3); at younger (&lt;50-year-old) age (21% vs. 6.5% in non-PBM GBCs; p = 0.01); were uncommonly associated with gallstones (14% vs. 58%; p &lt; 0.001); had higher rate of tumor-infiltrating lymphocytes (69% vs. 44%; p = 0.04); arose more often through adenoma-carcinoma sequence (31% vs. 12%; p = 0.02); and had a higher proportion of non-conventional carcinomas (21% vs. 7%; p = 0.03).                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":PBM accounts for 8% of GBCs also in the West but is typically undiagnosed. PBM-GBCs tend to manifest in younger age and often through adenoma-carcinoma sequence, leading to unusual carcinoma types. If PBM is encountered, cholecystectomy and surveillance of bile ducts is warranted. PBM-associated GBCs offer an invaluable model for variant anatomy-induced chemical (reflux-related) carcinogenesis.",eng,Ann Surg,0372354,0003-4932,aheadofprint,33201123,10.1097/SLA.0000000000004482,NA,NA,Ann Surg
33129823,2020,10,1532-8392,Human pathology,Interobserver agreement in pathologic evaluation of bile duct biopsies.,10.1016/j.humpath.2020.10.003,"Intraductal biopsy is commonly used for preoperative evaluation of the etiology of biliary strictures. Interpretation of intraductal biopsies is frequently challenging. The diagnosis often suffers from interobserver disagreement, which has not been studied in the literature. We sought to assess interobserver concordance in the interpretation of intraductal biopsies. Eighty-five biopsies were retrieved, falling into five diagnostic categories: negative for dysplasia (NED), indefinite for dysplasia (IND), low-grade dysplasia (LGD), high-grade dysplasia (HGD), and carcinoma (CA). Eight gastrointestinal pathologists blindly reviewed all the slides. Agreement among pathologists was analyzed using Fleiss κ and weighted concordance coefficient S∗. A face-to-face consensus/training session was held to discuss the classification criteria, followed by a second round review. The overall interobserver agreement was fair in the first round review (κ = 0.39; S∗ = 0.56) and improved to moderate in the second round review (κ = 0.48; S∗ = 0.69). The agreement before and after consensus meeting was substantial to nearly perfect for CA (κ = 0.65, S∗ = 0.83; and κ = 0.80, S∗ = 0.91), fair for HGD (κ = 0.28, S∗ = 0.69; and κ = 0.40, S∗ = 0.63), and moderate for NED (κ = 0.47, S∗ = 0.50; and κ = 0.47, S∗ = 0.53). Agreement improved from fair to moderate for LGD (κ = 0.36, S∗ = 0.61; and κ = 0.49, S∗ = 0.71) and slight to fair for IND (κ = 0.16, S∗ = 0.51; and κ = 0.33, S∗ = 0.50). Compared with Hollande's fixed specimens, the agreement was higher in almost all diagnostic categories in formalin-fixed biopsies. Overall, interobserver concordance was improved after a consensus/training session. Interobserver reproducibility was high at the end of the diagnostic spectrum (CA) but fair to moderate for other diagnostic categories.",eng,Hum Pathol,9421547,0046-8177,aheadofprint,33129823,10.1016/j.humpath.2020.10.003,107,NA,Hum Pathol
33060017,2020,10,1424-3911,Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.],The use of immunohistochemistry for IgG4 in the diagnosis of autoimmune pancreatitis: A systematic review and meta-analysis.,10.1016/j.pan.2020.10.028,"Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":The diagnosis of autoimmune pancreatitis (AIP) remains challenging, especially when serum IgG4 is normal or imaging features are indeterminate. We performed a systematic review and meta-analysis to evaluate the performance of IgG4 immunostaining of pancreatic, biliary, and ampullary tissues as a diagnostic aid for AIP.                 Label=""METHODS"" NlmCategory=""METHODS"":A comprehensive literature search of the PubMed, EMBASE, and Ovid MEDLINE databases was conducted until February 2020. The methodological quality of each study was assessed according to the Quality Assessment of Diagnostic Accuracy Studies checklist. A random-effects model was used to summarize the diagnostic odds ratio and other measures of accuracy.                 Label=""RESULTS"" NlmCategory=""RESULTS"":The meta-analysis included 20 studies comprising 346 patients with AIP and 590 patients with other pancreatobiliary diseases, including 371 pancreatobiliary malignancies. The summary estimates for tissue IgG4 in discriminating AIP and controls were as follows: diagnostic odds ratio 38.86 (95% confidence interval (CI), 18.70-80.75); sensitivity 0.64 (95% CI, 0.59-0.69); specificity 0.93 (95% CI, 0.91-0.95). The area under the curve was 0.939 for tissue IgG4 in discriminating AIP and controls. Subgroup analysis revealed no significant difference in diagnostic accuracy according to control groups (pancreatobiliary cancer versus other chronic pancreatitis) and sampling site (pancreas versus bile duct/ampulla).                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Current data demonstrate that IgG4 immunostaining of pancreatic, biliary, and ampullary tissue has a high specificity but moderate sensitivity for diagnosing AIP. IgG4 immunostaining may be useful in supporting a diagnosis of AIP when AIP is clinically suspected, but a combination of imaging and serology does not provide a conclusive diagnosis.",eng,Pancreatology,100966936,1424-3903,ppublish,33060017,10.1016/j.pan.2020.10.028,20,8,Pancreatology
33040247,2020,10,1534-4681,Annals of surgical oncology,Stratification of Postoperative Prognosis by Invasive Tumor Thickness in Perihilar Cholangiocarcinoma.,10.1245/s10434-020-09135-9,"Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":The pathological tumor classification of distal cholangiocarcinoma in the American Joint Committee on Cancer (AJCC) Cancer Staging Manual 8th edition is based on invasive depth, whereas that of perihilar cholangiocarcinoma (PHCC) continues to be layer-based. We aimed to clarify whether invasive depth measurement based on invasive tumor thickness (ITT) could help determine postoperative prognosis in patients with PHCC.                 Label=""METHODS"" NlmCategory=""METHODS"":We enrolled 184 patients with PHCC who underwent hepatectomy plus extrahepatic bile duct resection or hepatopancreatoduodenectomy with curative intent. ITT was measured using simple definitions according to the sectioning direction or gross tumor pattern.                 Label=""RESULTS"" NlmCategory=""RESULTS"":The median ITT was 5.8 mm (range 0.7-15.5). Using the recursive partitioning technique, ITT was classified into grades A (ITT &lt; 2 mm, n = 9), B (2 mm ≤ ITT &lt; 5 mm, n = 68), C (5 mm ≤ ITT &lt; 11 mm, n = 81), and D (11 mm &lt; ITT, n = 26). The median survival times (MSTs) in patients with grade B, C, or D were 90.8, 44.6, and 21.1 months, respectively (patients with grade A did not reach the MST). There were significant differences in postoperative prognosis between ITT grades (A vs. B, p = 0.027; B vs. C, p &lt; 0.001; C vs. D, p = 0.004). Through multivariate analysis, regional node metastasis, invasive carcinoma at the resected margin, and ITT grade were determined as independent prognostic factors.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":ITT could be measured using simple methods and may be used to stratify postoperative prognosis in patients with PHCC.",eng,Ann Surg Oncol,9420840,1068-9265,aheadofprint,33040247,10.1245/s10434-020-09135-9,NA,NA,Ann Surg Oncol
33008300,2020,10,1471-230X,BMC gastroenterology,Peritumoral ductular reaction can be a prognostic factor for intrahepatic cholangiocarcinoma.,10.1186/s12876-020-01471-0,"Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Peritumoral ductular reaction (DR) was reported to be related to the prognosis of combined hepatocellular-cholangiocarcinoma and hepatocellular carcinoma. Non-mucin-producing intrahepatic cholangiocarcinoma (ICC) which may be derived from small bile duct cells or liver progenitor cells (LPCs) was known to us. However, whether peritumoral DR is also related to non-mucin-producing ICCs remains to be investigated.                 Label=""METHODS"" NlmCategory=""METHODS"":Forty-seven patients with non-mucin-producing ICC were eventually included in the study and clinicopathological variables were collected. Immunohistochemical analysis and immunofluorescence staining for cytokeratin 19, proliferating cell nuclear antigen, and α-smooth muscle actin were performed in tumor and peritumor liver tissues.                 Label=""RESULTS"" NlmCategory=""RESULTS"":A significant correlation existed between peritumoral DR and local inflammation and fibrosis. (r = 0.357, 95% CI, 0.037-0.557; P = 0.008 and r = 0.742, 95% CI, 0.580-0.849; P &lt; 0.001, respectively). Patients with obvious peritumoral DR had high recurrence rate (81.8% vs 56.0%, P = 0.058) and poor overall and disease-free survival time (P = 0.01 and P = 0.03, respectively) comparing with mild peritumoral DR. Compared with the mild peritumoral DR group, the proliferation activity of LPCs/ cholangiocytes was higher in obvious peritumoral DR, which, however, was not statistically significant. (0.43 ± 0.29 vs 0.28 ± 0.31, P = 0.172). Furthermore, the correlation analysis showed that the DR grade was positively related to the portal/septalα-SMA level (r = 0.359, P = 0.001).                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Peritumoral DR was associated with local inflammation and fibrosis. Patients with non-mucin-producing ICC having obvious peritumoral DR had a poor prognosis. Peritumoral DR could be a prognostic factor for ICC. However, the mechanism should be further investigated.",eng,BMC Gastroenterol,100968547,1471-230X,epublish,33008300,10.1186/s12876-020-01471-0,20,1,BMC Gastroenterol
PMID,YearArticleDate,MonthArticleDate,ISSN,Title,ArticleTitle,ELocationID,AbstractText,Language,MedlineTA,NlmUniqueID,ISSNLinking,PublicationStatus,ArticleId,DOI,Volume,Issue,ISOAbbreviation
33309622,2020,12,1424-3911,Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.],ERCP is more challenging in cases of acute biliary pancreatitis than in acute cholangitis - Analysis of the Hungarian ERCP registry data.,10.1016/j.pan.2020.11.025,"Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Endoscopic retrograde cholangiopancreatography (ERCP) is an important therapeutic modality in acute biliary pancreatitis (ABP) cases with cholangitis or ongoing common bile duct obstruction. Theoretically, inflammation of the surrounding tissues would result in a more difficult procedure. No previous studies examined this hypothesis.                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":ABP and acute cholangitis (AC) without ABP cases were compared to assess difficulty of ERCP.                 Label=""METHODS"" NlmCategory=""METHODS"":The rate of successful biliary access, advanced cannulation method, adverse events, cannulation and fluoroscopy time were compared in 240 ABP cases and 250 AC cases without ABP. Previous papillotomy, altered gastroduodenal anatomy, and cases with biliary stricture were excluded.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Significantly more pancreatic guidewire manipulation (adjusted odds ratio (aOR) 1.921 [1.241-2.974]) and prophylactic pancreatic stent use (aOR 4.687 [2.415-9.098]) were seen in the ABP than in AC group. Average cannulation time in the ABP patients (248 vs. 185 s; p = 0.043) were longer than in AC cases. No difference was found between biliary cannulation and adverse events rates.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":ERCP in ABP cases seem to be more challenging than in AC. Difficult biliary access is more frequent in the ABP cases which warrants the involvement of an experienced endoscopist.",eng,Pancreatology,100966936,1424-3903,aheadofprint,33309622,10.1016/j.pan.2020.11.025,NA,NA,Pancreatology
33308474,NA,NA,1474-547X,"Lancet (London, England)",Primary biliary cholangitis.,10.1016/S0140-6736(20)31607-X,"Primary biliary cholangitis is an autoimmune liver disease that predominantly affects women. It is characterised by a chronic and destructive, small bile duct, granulomatous lymphocytic cholangitis, with typical seroreactivity for antimitochondrial antibodies. Patients have variable risks of progressive ductopenia, cholestasis, and biliary fibrosis. Considerations for the cause of this disease emphasise an interaction of chronic immune damage with biliary epithelial cell responses and encompass complex, poorly understood genetic risks and environmental triggers. Licensed disease-modifying treatment focuses on amelioration of cholestasis, with weight-dosed oral ursodeoxycholic acid. For patients who do not respond sufficiently, or patients with ursodeoxycholic acid intolerance, conditionally licensed add-on therapy is with the FXR (NR1H4) agonist, obeticholic acid. Off-label therapy is recognised as an alternative, notably with the pan-PPAR agonist bezafibrate; clinical trial agents are also under development. Baseline characteristics, such as young age, male sex, and advanced disease, and serum markers of liver injury, particularly bilirubin and ALP, are used to stratify risk and assess treatment responsiveness. Parallel attention to the burden of patient symptoms is paramount, including pruritus and fatigue.",eng,Lancet,2985213R,0140-6736,ppublish,33308474,10.1016/S0140-6736(20)31607-X,396,10266,Lancet
